elem,x,y,z,q
C,-1.44336,2e-05,-0.03755,0.030782
C,1.43734,-2e-05,-0.0459,-0.030661
C,0.73798,1.24893,-0.04537,0.086371
C,-0.74385,1.24896,-0.04129,-0.086408
C,0.73793,-1.24895,-0.04542,0.086373
C,-0.74388,-1.24892,-0.04117,-0.086418
C,-2.86782,5e-05,-0.03265,-0.040237
C,2.86167,-6e-05,-0.04926,0.040223
C,1.47039,2.42079,-0.04955,-0.106395
C,1.47029,-2.42083,-0.04978,-0.106377
C,-1.47603,2.42098,-0.04152,0.106358
C,-1.4761,-2.42093,-0.04115,0.106372
C,-3.57076,-1.23209,-0.03066,0.100506
C,-3.57073,1.2322,-0.03088,0.100497
C,3.56474,-1.23194,-0.05277,-0.100535
C,3.56479,1.23181,-0.05266,-0.100542
C,2.87928,2.4168,-0.05375,0.051437
C,2.87918,-2.416909,-0.054,0.051429
C,-2.88494,2.41703,-0.03607,-0.051485
C,-2.88501,-2.41693,-0.03564,-0.051474
H,0.97167,3.38387,-0.04989,-0.019061
H,0.97153,-3.3839,-0.05024,-0.01906
H,-0.97704,3.38395,-0.046,0.019133
H,-0.97713,-3.38391,-0.04546,0.019136
H,-4.65798,-1.21565,-0.02684,0.012807
H,-4.65794,1.21579,-0.02706,0.012804
H,4.65184,-1.21506,-0.05546,-0.012795
H,4.651889,1.21488,-0.05535,-0.012793
H,3.41119,3.364,-0.05842,-0.007136
H,3.41105,-3.36413,-0.05879,-0.007132
H,-3.41659,3.36443,-0.03573,0.00714
H,-3.41667,-3.36433,-0.0351,0.007136
