elem,x,y,z,q
C,-1.44336,2e-05,-0.03755,0.0037286861
C,1.43734,-2e-05,-0.0459,-0.0028708674
C,0.73798,1.24893,-0.04537,0.109511894
C,-0.74385,1.24896,-0.04129,-0.1099086108
C,0.73793,-1.24895,-0.04542,0.1095026102
C,-0.74388,-1.24892,-0.04117,-0.1099163644
C,-2.86782,5e-05,-0.03265,-0.0703843694
C,2.86167,-6e-05,-0.04926,0.069848754
C,1.47039,2.42079,-0.04955,-0.1752299716
C,1.47029,-2.42083,-0.04978,-0.1752028644
C,-1.47603,2.42098,-0.04152,0.1754437416
C,-1.4761,-2.42093,-0.04115,0.1754658023
C,-3.57076,-1.23209,-0.03066,0.165305319
C,-3.57073,1.2322,-0.03088,0.1652997364
C,3.56474,-1.23194,-0.05277,-0.1650527612
C,3.56479,1.23181,-0.05266,-0.1650755265
C,2.87928,2.4168,-0.05375,0.0852661498
C,2.87918,-2.416909,-0.054,0.0852509536
C,-2.88494,2.41703,-0.03607,-0.085519406
C,-2.88501,-2.41693,-0.03564,-0.0855153089
H,0.97167,3.38387,-0.04989,0.0027339381
H,0.97153,-3.3839,-0.05024,0.0027356152
H,-0.97704,3.38395,-0.046,-0.0027134373
H,-0.97713,-3.38391,-0.04546,-0.0027149038
H,-4.65798,-1.21565,-0.02684,-0.011038018
H,-4.65794,1.21579,-0.02706,-0.0110405875
H,4.65184,-1.21506,-0.05546,0.0109749113
H,4.651889,1.21488,-0.05535,0.010980697
H,3.41119,3.364,-0.05842,-0.0013781682
H,3.41105,-3.36413,-0.05879,-0.0013750687
H,-3.41659,3.36443,-0.03573,0.0014441253
H,-3.41667,-3.36433,-0.0351,0.0014433001
