unique_index,x,y,z,c,a,aidx,px,py,pz
0,-2.7275548,3.7794518e-05,-0.07095921,1.296083,7.868272,1,-0.0,-0.0001900000061141327,-0.0
1,-2.7275548,3.7794518e-05,-0.07095921,0.993754,1.881288,1,-0.0,-0.0001900000061141327,-0.0
2,-2.7275548,3.7794518e-05,-0.07095921,0.495953,0.544249,1,-0.0,-0.0001900000061141327,-0.0
3,-2.7275548,3.7794518e-05,-0.07095921,0.154128,0.168714,1,-9.999999747378752e-06,0.0006699999794363976,-0.0
4,2.7161787,-3.7794518e-05,-0.08673842,1.296083,7.868272,2,-0.0,-9.999999747378752e-05,0.0
5,2.7161787,-3.7794518e-05,-0.08673842,0.993754,1.881288,2,-0.0,-9.999999747378752e-05,0.0
6,2.7161787,-3.7794518e-05,-0.08673842,0.495953,0.544249,2,-0.0,-9.999999747378752e-05,0.0
7,2.7161787,-3.7794518e-05,-0.08673842,0.154128,0.168714,2,-9.999999747378752e-06,-0.0005300000193528831,0.0
8,1.39458,2.3601356,-0.08573687,1.296083,7.868272,3,0.00039000000106170774,0.0003100000030826777,0.15812000632286072
9,1.39458,2.3601356,-0.08573687,0.993754,1.881288,3,0.00039000000106170774,0.0003100000030826777,0.15812000632286072
10,1.39458,2.3601356,-0.08573687,0.495953,0.544249,3,0.00039000000106170774,0.0003100000030826777,0.15812000632286072
11,1.39458,2.3601356,-0.08573687,0.154128,0.168714,3,0.0009399999980814755,-2.9999999242136255e-05,0.16604000329971313
12,-1.4056727,2.360192,-0.07802679,1.296083,7.868272,4,0.0004199999966658652,0.0004199999966658652,0.15815000236034393
13,-1.4056727,2.360192,-0.07802679,0.993754,1.881288,4,0.0004199999966658652,0.0004199999966658652,0.15815000236034393
14,-1.4056727,2.360192,-0.07802679,0.495953,0.544249,4,0.0004199999966658652,0.0004199999966658652,0.15815000236034393
15,-1.4056727,2.360192,-0.07802679,0.154128,0.168714,4,0.0011399999493733048,0.000590000010561198,0.16606999933719635
16,1.3944855,-2.3601732,-0.08583135,1.296083,7.868272,5,-0.00041000000783242285,0.00033000000985339284,-0.15812000632286072
17,1.3944855,-2.3601732,-0.08583135,0.993754,1.881288,5,-0.00041000000783242285,0.00033000000985339284,-0.15812000632286072
18,1.3944855,-2.3601732,-0.08583135,0.495953,0.544249,5,-0.00041000000783242285,0.00033000000985339284,-0.15812000632286072
19,1.3944855,-2.3601732,-0.08583135,0.154128,0.168714,5,-0.000910000002477318,-1.9999999494757503e-05,-0.16604000329971313
20,-1.4057294,-2.3601165,-0.07780002,1.296083,7.868272,6,-0.00044999999227002263,0.00039999998989515007,-0.15815000236034393
21,-1.4057294,-2.3601165,-0.07780002,0.993754,1.881288,6,-0.00044999999227002263,0.00039999998989515007,-0.15815000236034393
22,-1.4057294,-2.3601165,-0.07780002,0.495953,0.544249,6,-0.00044999999227002263,0.00039999998989515007,-0.15815000236034393
23,-1.4057294,-2.3601165,-0.07780002,0.154128,0.168714,6,-0.0011099999537691474,0.0005699999746866524,-0.16606999933719635
24,-5.419394,9.44863e-05,-0.061699554,1.296083,7.868272,7,-0.0,-0.00014000000373926014,0.0
25,-5.419394,9.44863e-05,-0.061699554,0.993754,1.881288,7,-0.0,-0.00014000000373926014,0.0
26,-5.419394,9.44863e-05,-0.061699554,0.495953,0.544249,7,-0.0,-0.00014000000373926014,0.0
27,-5.419394,9.44863e-05,-0.061699554,0.154128,0.168714,7,-9.999999747378752e-06,-0.0002699999895412475,0.0
28,5.407772,-0.00011338356,-0.093087904,1.296083,7.868272,8,-0.0,-0.00015999999595806003,-0.0
29,5.407772,-0.00011338356,-0.093087904,0.993754,1.881288,8,-0.0,-0.00015999999595806003,-0.0
30,5.407772,-0.00011338356,-0.093087904,0.495953,0.544249,8,-0.0,-0.00015999999595806003,-0.0
31,5.407772,-0.00011338356,-0.093087904,0.154128,0.168714,8,-9.999999747378752e-06,0.00022000000171829015,-0.0
32,2.7786343,4.57463,-0.093635924,1.296083,7.868272,9,-0.000539999979082495,-0.0003000000142492354,-0.17141999304294586
33,2.7786343,4.57463,-0.093635924,0.993754,1.881288,9,-0.000539999979082495,-0.0003000000142492354,-0.17141999304294586
34,2.7786343,4.57463,-0.093635924,0.495953,0.544249,9,-0.000539999979082495,-0.0003000000142492354,-0.17141999304294586
35,2.7786343,4.57463,-0.093635924,0.154128,0.168714,9,-0.0008399999933317304,-0.0001900000061141327,-0.19524000585079193
36,2.7784452,-4.5747056,-0.09407056,1.296083,7.868272,10,0.0005499999970197678,-0.00033000000985339284,0.1714099943637848
37,2.7784452,-4.5747056,-0.09407056,0.993754,1.881288,10,0.0005499999970197678,-0.00033000000985339284,0.1714099943637848
38,2.7784452,-4.5747056,-0.09407056,0.495953,0.544249,10,0.0005499999970197678,-0.00033000000985339284,0.1714099943637848
39,2.7784452,-4.5747056,-0.09407056,0.154128,0.168714,10,0.0008299999753944576,-0.00026000000070780516,0.19523000717163086
40,-2.7892923,4.574989,-0.07846142,1.296083,7.868272,11,-0.0006200000061653554,-0.0005000000237487257,-0.17139999568462372
41,-2.7892923,4.574989,-0.07846142,0.993754,1.881288,11,-0.0006200000061653554,-0.0005000000237487257,-0.17139999568462372
42,-2.7892923,4.574989,-0.07846142,0.495953,0.544249,11,-0.0006200000061653554,-0.0005000000237487257,-0.17139999568462372
43,-2.7892923,4.574989,-0.07846142,0.154128,0.168714,11,-0.0008999999845400453,-0.0007900000200606883,-0.1952199935913086
44,-2.7894244,-4.5748944,-0.077762224,1.296083,7.868272,12,0.0006300000241026282,-0.0004600000102072954,0.1714099943637848
45,-2.7894244,-4.5748944,-0.077762224,0.993754,1.881288,12,0.0006300000241026282,-0.0004600000102072954,0.1714099943637848
46,-2.7894244,-4.5748944,-0.077762224,0.495953,0.544249,12,0.0006300000241026282,-0.0004600000102072954,0.1714099943637848
47,-2.7894244,-4.5748944,-0.077762224,0.154128,0.168714,12,0.0008999999845400453,-0.000699999975040555,0.19523000717163086
48,-6.747758,-2.3283124,-0.057939,1.296083,7.868272,13,-0.0007099999929778278,0.0003000000142492354,-0.18559999763965607
49,-6.747758,-2.3283124,-0.057939,0.993754,1.881288,13,-0.0007099999929778278,0.0003000000142492354,-0.18559999763965607
50,-6.747758,-2.3283124,-0.057939,0.495953,0.544249,13,-0.0007099999929778278,0.0003000000142492354,-0.18559999763965607
51,-6.747758,-2.3283124,-0.057939,0.154128,0.168714,13,-0.0008500000112690032,0.00023999999393709004,-0.20782999694347382
52,-6.747701,2.3285203,-0.05835474,1.296083,7.868272,14,0.0007099999929778278,0.00033000000985339284,0.18559999763965607
53,-6.747701,2.3285203,-0.05835474,0.993754,1.881288,14,0.0007099999929778278,0.00033000000985339284,0.18559999763965607
54,-6.747701,2.3285203,-0.05835474,0.495953,0.544249,14,0.0007099999929778278,0.00033000000985339284,0.18559999763965607
55,-6.747701,2.3285203,-0.05835474,0.154128,0.168714,14,0.000859999970998615,0.0002899999963119626,0.20782999694347382
56,6.736382,-2.328029,-0.09972084,1.296083,7.868272,15,-0.00044999999227002263,0.0005499999970197678,-0.18560999631881714
57,6.736382,-2.328029,-0.09972084,0.993754,1.881288,15,-0.00044999999227002263,0.0005499999970197678,-0.18560999631881714
58,6.736382,-2.328029,-0.09972084,0.495953,0.544249,15,-0.00044999999227002263,0.0005499999970197678,-0.18560999631881714
59,6.736382,-2.328029,-0.09972084,0.154128,0.168714,15,-0.0006300000241026282,0.0005699999746866524,-0.20782999694347382
60,6.7364764,2.3277833,-0.09951297,1.296083,7.868272,16,0.00044999999227002263,0.000539999979082495,0.1856199949979782
61,6.7364764,2.3277833,-0.09951297,0.993754,1.881288,16,0.00044999999227002263,0.000539999979082495,0.1856199949979782
62,6.7364764,2.3277833,-0.09951297,0.495953,0.544249,16,0.00044999999227002263,0.000539999979082495,0.1856199949979782
63,6.7364764,2.3277833,-0.09951297,0.154128,0.168714,16,0.0006399999838322401,0.000539999979082495,0.2078399956226349
64,5.44105,4.5670896,-0.101572774,1.296083,7.868272,17,-0.0002300000051036477,-0.0002800000074785203,-0.07983999699354172
65,5.44105,4.5670896,-0.101572774,0.993754,1.881288,17,-0.0002300000051036477,-0.0002800000074785203,-0.07983999699354172
66,5.44105,4.5670896,-0.101572774,0.495953,0.544249,17,-0.0002300000051036477,-0.0002800000074785203,-0.07983999699354172
67,5.44105,4.5670896,-0.101572774,0.154128,0.168714,17,-0.0003499999875202775,-0.0003100000030826777,-0.08704999834299088
68,5.440861,-4.5672975,-0.1020452,1.296083,7.868272,18,0.0002300000051036477,-0.0002899999963119626,0.07983999699354172
69,5.440861,-4.5672975,-0.1020452,0.993754,1.881288,18,0.0002300000051036477,-0.0002899999963119626,0.07983999699354172
70,5.440861,-4.5672975,-0.1020452,0.495953,0.544249,18,0.0002300000051036477,-0.0002899999963119626,0.07983999699354172
71,5.440861,-4.5672975,-0.1020452,0.154128,0.168714,18,0.0003499999875202775,-0.0003000000142492354,0.08705999702215195
72,-5.451746,4.5675244,-0.06816242,1.296083,7.868272,19,-0.0003499999875202775,-0.0001500000071246177,-0.0798799991607666
