elem,x,y,z,q
C,2.4e-05,1.360115,1e-05,0.166673
C,1.4e-05,-1.360102,1.5e-05,0.166672
C,-4.613916,1.363074,-2.1e-05,0.138328
C,-4.613938,-1.363052,-1.6e-05,0.138291
C,4.614042,1.363088,4.1e-05,0.151142
C,4.614025,-1.363089,4.6e-05,0.151188
C,2.332044,2.647708,2.3e-05,-0.417327
C,2.332027,-2.647708,3.3e-05,-0.417348
C,-2.331968,2.647777,-8e-06,-0.407053
C,-2.331986,-2.647748,2e-06,-0.407033
C,-7.003339,2.659595,-3.9e-05,-0.239652
C,-7.003375,-2.659554,-3e-05,-0.239609
C,7.003359,2.659812,5.5e-05,-0.252097
C,7.003328,-2.659831,6.4e-05,-0.252145
C,-9.213865,1.355421,-5.2e-05,-0.190546
C,-9.213985,-1.35553,-4.7e-05,-0.190592
C,9.213805,1.35554,7.2e-05,-0.188122
C,9.213687,-1.355405,7.7e-05,-0.188075
H,2.330797,4.704744,2e-05,0.139371
H,2.330773,-4.704745,3.7e-05,0.139374
H,-2.330731,4.704813,-1.1e-05,0.135993
H,-2.330754,-4.704785,5e-06,0.135988
H,-6.996725,4.714819,-4.3e-05,0.120786
H,-6.99671,-4.714776,-2.6e-05,0.120768
H,6.996721,4.715043,5.1e-05,0.123146
H,6.996743,-4.715065,6.8e-05,0.123165
H,-11.00784,2.354065,-6.5e-05,0.109556
H,-11.007973,-2.354161,-5.7e-05,0.109587
H,11.007828,2.354097,8.2e-05,0.109802
H,11.0077,-2.353972,9.1e-05,0.109771
