elem,x,y,z,q
C,1e-05,0.71974,1e-05,-0.038799
C,1e-05,-0.71973,1e-05,0.038807
C,-2.44158,0.72131,-1e-05,-0.05576
C,-2.44159,-0.7213,-1e-05,0.055785
C,2.44165,0.72131,2e-05,-0.055739
C,2.44164,-0.72132,2e-05,0.055707
C,1.23406,1.40111,1e-05,0.130795
C,1.23406,-1.40111,2e-05,-0.130784
C,-1.23402,1.40114,0.0,0.130829
C,-1.23403,-1.40113,0.0,-0.130829
C,-3.70601,1.4074,-2e-05,0.061461
C,-3.70603,-1.40738,-2e-05,-0.061478
C,3.70602,1.40751,3e-05,0.061475
C,3.706,-1.40752,3e-05,-0.061469
C,-4.875769,0.71726,-3e-05,-0.058054
C,-4.87583,-0.71732,-2e-05,0.058021
C,4.87574,0.71732,4e-05,-0.058001
C,4.875669,-0.71725,4e-05,0.058024
H,1.2334,2.48964,1e-05,0.009011
H,1.23339,-2.48964,2e-05,-0.009019
H,-1.23337,2.48968,-1e-05,0.009013
H,-1.23338,-2.48967,0.0,-0.009005
H,-3.70251,2.494969,-2e-05,0.002465
H,-3.702499,-2.49495,-1e-05,-0.002451
H,3.70251,2.49509,3e-05,0.002457
H,3.70252,-2.4951,4e-05,-0.00246
H,-5.8251,1.24572,-3e-05,-0.004714
H,-5.82517,-1.24577,-3e-05,0.004743
H,5.82509,1.24573,4e-05,-0.004728
H,5.825019,-1.24567,5e-05,0.004703
