elem,x,y,z,q
C,2.4e-05,1.360115,1e-05,0.069547
C,1.4e-05,-1.360102,1.5e-05,0.069547
C,-4.613916,1.363074,-2.1e-05,0.13952
C,-4.613938,-1.363052,-1.6e-05,0.139448
C,4.614042,1.363088,4.1e-05,0.144815
C,4.614025,-1.363089,4.6e-05,0.144889
C,2.332044,2.647708,2.3e-05,-0.170554
C,2.332027,-2.647708,3.3e-05,-0.170579
C,-2.331968,2.647777,-8e-06,-0.166984
C,-2.331986,-2.647748,2e-06,-0.166963
C,-7.003339,2.659595,-3.9e-05,-0.195048
C,-7.003375,-2.659554,-3e-05,-0.194986
C,7.003359,2.659812,5.5e-05,-0.202641
C,7.003328,-2.659831,6.4e-05,-0.202708
C,-9.213865,1.355421,-5.2e-05,-0.073081
C,-9.213985,-1.35553,-4.7e-05,-0.07315
C,9.213805,1.35554,7.2e-05,-0.069337
C,9.213687,-1.355405,7.7e-05,-0.069262
H,2.330797,4.704744,2e-05,0.175841
H,2.330773,-4.704745,3.7e-05,0.175845
H,-2.330731,4.704813,-1.1e-05,0.174604
H,-2.330754,-4.704785,5e-06,0.1746
H,-6.996725,4.714819,-4.3e-05,0.171442
H,-6.99671,-4.714776,-2.6e-05,0.171421
H,6.996721,4.715043,5.1e-05,0.173001
H,6.996743,-4.715065,6.8e-05,0.173024
H,-11.00784,2.354065,-6.5e-05,0.165016
H,-11.007973,-2.354161,-5.7e-05,0.165049
H,11.007828,2.354097,8.2e-05,0.163859
H,11.0077,-2.353972,9.1e-05,0.163826
