elem,x,y,z,q
C,1e-05,0.71974,1e-05,-0.0378999348
C,1e-05,-0.71973,1e-05,0.0379028868
C,-2.44158,0.72131,-1e-05,-0.0612257755
C,-2.44159,-0.7213,-1e-05,0.0612393943
C,2.44165,0.72131,2e-05,-0.0613466262
C,2.44164,-0.72132,2e-05,0.0613073047
C,1.23406,1.40111,1e-05,0.1927179851
C,1.23406,-1.40111,2e-05,-0.1926970711
C,-1.23402,1.40114,0.0,0.1926613938
C,-1.23403,-1.40113,0.0,-0.1926458824
C,-3.70601,1.4074,-2e-05,0.0806503549
C,-3.70603,-1.40738,-2e-05,-0.0806688073
C,3.70602,1.40751,3e-05,0.0809342119
C,3.706,-1.40752,3e-05,-0.0809293321
C,-4.875769,0.71726,-3e-05,-0.083311223
C,-4.87583,-0.71732,-2e-05,0.0833058776
C,4.87574,0.71732,4e-05,-0.0840198307
C,4.875669,-0.71725,4e-05,0.0840449195
H,1.2334,2.48964,1e-05,-0.0220312955
H,1.23339,-2.48964,2e-05,0.0220201257
H,-1.23337,2.48968,-1e-05,-0.0220158861
H,-1.23338,-2.48967,0.0,0.0220157776
H,-3.70251,2.494969,-2e-05,-0.0041900197
H,-3.702499,-2.49495,-1e-05,0.0041995624
H,3.70251,2.49509,3e-05,-0.0042040454
H,3.70252,-2.4951,4e-05,0.0042001686
H,-5.8251,1.24572,-3e-05,-0.0005786069
H,-5.82517,-1.24577,-3e-05,0.0005876333
H,5.82509,1.24573,4e-05,-0.0003833838
H,5.825019,-1.24567,5e-05,0.0003601243
