unique_index,x,y,z,c,a,aidx,px,py,pz
0,1.8897259e-05,1.3601114,1.8897259e-05,1.296083,7.868272,1,0.0,0.0,-0.0
1,1.8897259e-05,1.3601114,1.8897259e-05,0.993754,1.881288,1,0.0,0.0,-0.0
2,1.8897259e-05,1.3601114,1.8897259e-05,0.495953,0.544249,1,0.0,0.0,-0.0
3,1.8897259e-05,1.3601114,1.8897259e-05,0.154128,0.168714,1,0.0,-0.0,-0.0
4,1.8897259e-05,-1.3600925,1.8897259e-05,1.296083,7.868272,2,0.0,0.0,-9.999999747378752e-06
5,1.8897259e-05,-1.3600925,1.8897259e-05,0.993754,1.881288,2,0.0,0.0,-9.999999747378752e-06
6,1.8897259e-05,-1.3600925,1.8897259e-05,0.495953,0.544249,2,0.0,0.0,-9.999999747378752e-06
7,1.8897259e-05,-1.3600925,1.8897259e-05,0.154128,0.168714,2,0.0,-0.0,-9.999999747378752e-06
8,-4.6139174,1.3630782,-1.8897259e-05,1.296083,7.868272,3,-0.0,0.0,0.08748000115156174
9,-4.6139174,1.3630782,-1.8897259e-05,0.993754,1.881288,3,-0.0,0.0,0.08748000115156174
10,-4.6139174,1.3630782,-1.8897259e-05,0.495953,0.544249,3,-0.0,0.0,0.08748000115156174
11,-4.6139174,1.3630782,-1.8897259e-05,0.154128,0.168714,3,-0.0,0.0,0.07603999972343445
12,-4.613936,-1.3630594,-1.8897259e-05,1.296083,7.868272,4,0.0,-0.0,-0.08747000247240067
13,-4.613936,-1.3630594,-1.8897259e-05,0.993754,1.881288,4,0.0,-0.0,-0.08747000247240067
14,-4.613936,-1.3630594,-1.8897259e-05,0.495953,0.544249,4,0.0,-0.0,-0.08747000247240067
15,-4.613936,-1.3630594,-1.8897259e-05,0.154128,0.168714,4,0.0,0.0,-0.07603000104427338
16,4.6140494,1.3630782,3.7794518e-05,1.296083,7.868272,5,0.0,-0.0,-0.08748000115156174
17,4.6140494,1.3630782,3.7794518e-05,0.993754,1.881288,5,0.0,-0.0,-0.08748000115156174
18,4.6140494,1.3630782,3.7794518e-05,0.495953,0.544249,5,0.0,-0.0,-0.08748000115156174
19,4.6140494,1.3630782,3.7794518e-05,0.154128,0.168714,5,-0.0,-0.0,-0.07603999972343445
20,4.6140304,-1.3630972,3.7794518e-05,1.296083,7.868272,6,-0.0,0.0,0.08748999983072281
